"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","Uczelnia"
"11",11,399769820,"2024-01-23 15:28:24","2024-01-23 15:35:37","00:07:13","00:07:13","Filologia angielska","","Stacjonarne","Pierwszy","Pierwszy","","","To jest uczelnia pierwszego wyboru","","Tak","Państwowa Akademia Nauk Stosowanych w Chełmie","Tak","5","Mniej kolokwii, więcej wiedzy praktycznej i jej wykorzystania na wykładach dla dalszej ścieżki kariery","7","6","5","7","7","6",0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,"","Tradycyjność","Edukacja dla studentów z zagranicy","Głęboka wiara","Kierunek","Przedmioty","Dodatkowe zajęcia","7","7","7","5","6","7","7","6","7","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","Kobieta","Chełm","Miasto do 19 999 mieszkańców","lubelskie","Wykonuję umowy zlecenia, umowy o dzieło",0,0,0,0,0,0,0,"",1,"","Mobile",NA,NA,"","00:00:21","00:00:13","00:00:27","00:00:03","","","00:00:08","","00:00:10","00:00:18","00:00:16","00:00:48","00:00:38","00:00:18","00:00:14","00:00:38","00:00:23","00:00:04","00:00:36","00:00:20","00:00:18","00:00:08","00:00:41","00:00:08","00:00:03","KUL"
"12",12,400018256,"2024-01-24 12:57:19","2024-01-24 13:10:24","00:13:05","00:13:05","Filologia angielska spec. nauczycielska","","Stacjonarne","Drugi","","Pierwszy","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","6","","6","6","4","6","Trudno powiedzieć","4",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"","katolicka uczelnia","dobry poziom nauczania","","Lokalizacja","Kierunek","Wykładowcy","Trudno powiedzieć","5","5","7","6","Trudno powiedzieć","Trudno powiedzieć","4","4","Trudno powiedzieć","7","Trudno powiedzieć","5","5","5","3","Trudno powiedzieć","6","5","Trudno powiedzieć","5","6","Trudno powiedzieć","Trudno powiedzieć","6","7","5","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Kobieta","Ukraina","Miasto 500 000 i więcej mieszkańców","lubelskie","Nie pracuję",0,1,0,0,0,0,0,"",0,"","Mobile",NA,NA,"","00:00:24","00:00:25","00:00:08","","00:00:04","","00:00:07","","00:00:06","","00:00:16","","00:01:45","00:01:54","00:00:29","00:01:03","00:00:54","00:00:43","00:01:17","00:00:58","00:00:44","00:00:27","00:01:08","00:00:08","00:00:05","KUL"
"13",13,400220252,"2024-01-25 10:14:48","2024-01-25 10:28:43","00:13:55","00:13:55","Inżynieria środowiska","","Stacjonarne","Pierwszy","Trzeci","","","To jest uczelnia pierwszego wyboru","","Nie","","Nie","5","Musiałyby zostać wprowadzone udogodnienia dla studentów jak automaty z przekąskami czy kawą lub chociaż dystrybutor z wodą oraz dostęp do internetu","7","6","7","5","5","5",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,"","Dający możliwości","Rozwijający wartości duchowe","Rozwijające relacje między ludzkie","Blisko","Perspektywicznie","Rozwijające zainteresowania","6","5","5","6","6","6","7","5","6","5","4","6","5","6","5","5","7","6","7","4","5","6","6","6","6","6","5","6","6","6","Kobieta","Lublin","Miasto 20 000-99 999 mieszkańców","lubelskie","Nie pracuję",1,1,1,0,0,0,0,"",0,"","Mobile",NA,NA,"","00:00:46","00:00:18","00:00:07","00:00:13","","","00:00:08","","00:00:05","","00:00:20","00:01:40","00:00:47","00:01:51","00:00:15","00:02:07","00:00:51","00:00:08","00:00:57","00:01:07","00:00:44","00:00:23","00:00:45","00:00:17","00:00:06","KUL"
"14",14,400236194,"2024-01-25 12:41:49","2024-01-25 12:50:14","00:08:25","00:08:25","Pielęgniarstwo","","Stacjonarne","Pierwszy","Pierwszy","","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","5","Na Poczekajce potrzebne są automaty z jedzeniem i jakiś barek z tanim jedzeniem bo CP jest za drogie dla studentów.","4","6","6","Nie jest to dla mnie istotne","Trudno powiedzieć","Nie jest to dla mnie istotne",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"","obecność dni adaptacyjnych","","","jakość kształcenia","","","6","5","2","7","Trudno powiedzieć","Trudno powiedzieć","3","Trudno powiedzieć","Trudno powiedzieć","6","7","4","Trudno powiedzieć","5","2","2","Trudno powiedzieć","4","6","Trudno powiedzieć","Trudno powiedzieć","4","6","6","Trudno powiedzieć","5","Trudno powiedzieć","Trudno powiedzieć","7","Trudno powiedzieć","Kobieta","Kutno","Miasto 20 000-99 999 mieszkańców","łódzkie","Nie pracuję",0,1,0,0,0,0,0,"",0,"","PC",NA,NA,"","00:00:08","00:00:24","00:00:08","00:00:04","","","00:00:10","","00:00:04","","00:00:17","00:00:36","00:00:42","00:00:32","00:00:18","00:00:36","00:00:24","00:00:05","00:00:58","00:01:08","00:00:44","00:00:25","00:00:31","00:00:07","00:00:04","KUL"
"15",15,400239212,"2024-01-25 13:02:21","2024-01-25 13:19:37","00:17:16","00:17:16","Biotechnologia","","Stacjonarne","Drugi","","Pierwszy","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","7. Wysoka satysfakcja","","6","6","6","6","7","7",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"","Nowoczesność","Indywidualne podejście","Możliwość rozwoju","Ilość przedmiotów","Parking","Nowoczesność","7","7","5","7","3","7","7","Trudno powiedzieć","Trudno powiedzieć","5","5","6","7","5","7","4","7","6","5","6","3","4","5","2","7","7","7","7","6","Trudno powiedzieć","Kobieta","","Wieś","lubelskie","Nie pracuję",0,0,0,0,0,0,0,"",1,"","Mobile",NA,NA,"","00:00:13","00:00:14","00:00:06","","00:00:07","","00:00:22","","00:00:06","","00:00:20","","00:01:22","00:01:20","00:00:32","00:01:36","00:01:56","00:00:06","00:02:27","00:01:49","00:01:52","00:01:31","00:00:07","00:00:59","00:00:11","KUL"
"16",16,400242512,"2024-01-25 13:34:28","2024-01-25 13:52:39","00:18:11","00:18:11","Biotechnologia","","Stacjonarne","Drugi","","Drugi","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Medyczny w Lublinie","Nie","","Tak","7. Wysoka satysfakcja","","7","7","6","Nie jest to dla mnie istotne","4","Trudno powiedzieć",1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,"","Bardzo dobra organizacja","Bardzo dobre podejście do studenta","Zajęcia zdalne przed i po wolnym dzieki czemu student może spędzić więcej czasu w domu rodzinnym","Kierunek biotechnologia","Wyposażenie i nowoczesność budynku","Duża ilość miejsc","7","3","2","7","7","7","2","5","7","4","7","Trudno powiedzieć","Trudno powiedzieć","7","4","1","4","7","7","Trudno powiedzieć","1","5","Trudno powiedzieć","7","6","6","2","2","7","4","Kobieta","Ostrowiec Świętokrzyski","Miasto 20 000-99 999 mieszkańców","świętokrzyskie","Nie pracuję",0,1,0,0,0,0,0,"",0,"Moja uczelnia jest bardzo dobra, jestem zadowolona z jej wyboru, gdybym mogła to bym wybrała ją po raz drugi, prowadzący są bardzo dobrzy i profesjonalni, uczelnia jest dobrze zorganizowana, przez 5 lat studiów na tej uczelni nie spotkałam się z żadnym problemem","Mobile",NA,NA,"","00:00:47","00:00:22","00:00:05","","00:00:03","","00:00:35","00:00:02","00:00:03","","00:00:08","","00:01:14","00:01:07","00:00:54","00:04:44","00:01:13","00:00:17","00:02:12","00:00:59","00:00:43","00:00:35","00:00:37","00:00:17","00:01:14","KUL"
"17",17,400242614,"2024-01-25 13:35:44","2024-01-25 13:54:01","00:18:17","00:18:17","Biotechnologia","","Stacjonarne","Drugi","","Drugi","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Jagielloński","Nie","","Nie","5","Większy dostęp do staży, możliwości zdobycia większego doświadczenia w zawodzie.","5","5","5","1","3","3",1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"","dewocja","","","nowe wyposażenie, nowoczesny budynek","mała liczba studentów","niski próg","5","3","4","5","3","4","4","3","3","4","5","4","4","5","5","3","4","5","5","Trudno powiedzieć","2","3","3","1","3","3","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Wolę nie podawać","","Miasto do 19 999 mieszkańców","podkarpackie","Wolę nie odpowiadać",1,0,0,0,0,0,0,"",0,"Uważam, że moja uczelnia jest katolicka tylko z nazwy i potrafi rzucać tylko frazesami.","PC",NA,NA,"","00:00:52","00:00:12","00:00:08","","00:00:11","","00:00:14","00:00:16","00:00:05","","00:00:36","00:00:54","00:01:12","00:01:17","00:00:27","00:02:28","00:01:34","00:00:06","00:01:14","00:01:00","00:00:54","00:00:39","00:00:55","00:00:22","00:02:41","KUL"
"18",18,400246379,"2024-01-25 14:23:44","2024-01-25 14:32:51","00:09:07","00:09:07","Biotechnologia","","Stacjonarne","Drugi","","Drugi","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","7. Wysoka satysfakcja","","7","7","7","Nie jest to dla mnie istotne","7","6",1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"","Innowacyjność","Wolność jednostki","Rozwój","Innowacyjność","Rozwój","Wolność jednostki","7","3","4","7","7","2","4","6","2","Trudno powiedzieć","7","7","7","7","7","1","7","7","7","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","1","7","7","4","3","5","7","7","Wolę nie podawać","","Miasto 20 000-99 999 mieszkańców","mazowieckie","Pracuję, ale nie mam umowy",0,0,0,0,0,0,0,"",1,"Brak.","PC",NA,NA,"","00:00:21","00:00:24","00:00:08","","00:00:08","","00:00:07","","00:00:25","","00:00:08","","00:00:35","00:00:54","00:00:22","00:01:15","00:00:08","00:00:14","00:00:59","00:00:41","00:00:36","00:00:20","00:00:28","00:00:21","00:00:33","KUL"
"19",19,400247255,"2024-01-25 14:21:44","2024-01-25 14:44:32","00:22:48","00:22:48","Biotechnologia","","Stacjonarne","Drugi","","Drugi","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Rzeszowski","Nie","","Tak","5","Więcej wizyt studyjnych i spotkań z przedstawicielami firm poza obrębem
Lublina, warsztaty poza uczelnia w ramach zajęć,","7","6","6","Nie jest to dla mnie istotne","Nie jest to dla mnie istotne","5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"","Katolicka","Specjalizuje się w różnych dziedzinach","Międzynarodowa","Położenie","Nowoczesność","Dostępność","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","5","Trudno powiedzieć","Trudno powiedzieć","6","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","6","Trudno powiedzieć","5","5","6","Trudno powiedzieć","Trudno powiedzieć","5","6","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","5","5","Trudno powiedzieć","Trudno powiedzieć","Wolę nie podawać","","Wieś","lubelskie","Wolę nie odpowiadać",0,1,0,0,0,0,0,"",0,"","Mobile",NA,NA,"","00:00:16","00:00:15","00:00:07","","00:00:05","","00:00:08","00:00:34","00:00:05","","00:00:15","00:03:43","00:01:29","00:01:05","00:05:03","00:03:31","00:01:40","00:00:15","00:00:51","00:01:03","00:00:35","00:00:43","00:00:42","00:00:19","00:00:04","KUL"
"20",20,400248122,"2024-01-25 14:48:22","2024-01-25 14:54:16","00:05:54","00:05:54","Biotechnologia","","Stacjonarne","Pierwszy","Trzeci","","","Chciałam/chciałem studiować na innej uczelni","UMED Lublin","Nie","","Tak","6","","7","7","7","5","6","7",0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,"","duzo praktyki","mało osób na roku","możliwości",",",",",",","6","5","3","7","6","5","4","Trudno powiedzieć","Trudno powiedzieć","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","Wolę nie podawać","","Wieś","mazowieckie","Wykonuję umowy zlecenia, umowy o dzieło",0,0,0,0,0,0,0,"",1,"","PC",NA,NA,"","00:00:09","00:00:11","00:00:08","00:00:08","","","00:00:08","00:00:12","00:00:04","","00:00:23","","00:00:25","00:00:25","00:00:14","00:00:48","00:00:17","00:00:04","00:00:52","00:00:17","00:00:10","00:00:10","00:00:33","00:00:11","00:00:05","KUL"
"21",21,400248152,"2024-01-25 14:46:55","2024-01-25 14:54:34","00:07:39","00:07:39","Filologia angielska","","Stacjonarne","Pierwszy","Pierwszy","","","To jest uczelnia pierwszego wyboru","","Nie","","Nie","5","Nic","4","5","7","5","Nie jest to dla mnie istotne","Nie jest to dla mnie istotne",0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"","Tolerancja","Jakość","Prestiż","Lokalizacja","Kierunki",".","5","5","5","5","3","4","3","5","4","6","7","6","5","6","Trudno powiedzieć","Trudno powiedzieć","5","4","4","Trudno powiedzieć","Trudno powiedzieć","6","6","5","Trudno powiedzieć","Trudno powiedzieć","6","5","6","Trudno powiedzieć","Mężczyzna","Jasienica Rosielna","Wieś","podkarpackie","Nie pracuję",0,0,0,1,0,0,0,"",0,"Brak","Mobile",NA,NA,"","00:00:10","00:00:13","00:00:08","00:00:05","","","00:00:05","","00:00:06","","00:00:14","00:00:34","00:00:34","00:00:29","00:00:14","00:00:50","00:00:25","00:00:08","00:00:50","00:00:35","00:00:42","00:00:25","00:00:31","00:00:10","00:00:13","KUL"
"22",22,400248233,"2024-01-25 14:46:50","2024-01-25 14:55:27","00:08:37","00:08:37","Filologia angielska","","Stacjonarne","Pierwszy","Pierwszy","","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Pedagogiczny w Krakowie","Nie","","Nie","6","","7","5","7","Nie jest to dla mnie istotne","4","4",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,"","Wielokulturowość","Szacunek do studentów","Tradycja","Atmosfera","Możliwość rozwoju","Wielokulturowośç","7","3","2","7","7","7","5","7","7","7","7","7","7","5","5","3","7","6","7","7","7","7","4","7","7","7","7","4","6","4","Kobieta","Szewce","Wieś","świętokrzyskie","Nie pracuję",0,0,0,0,1,0,0,"",0,"","Mobile",NA,NA,"","00:00:26","00:00:17","00:00:05","00:00:06","","","00:00:05","00:00:25","00:00:07","","00:00:15","","00:00:38","00:00:30","00:00:14","00:00:41","00:01:44","00:00:04","00:00:39","00:00:35","00:00:39","00:00:25","00:00:31","00:00:07","00:00:04","KUL"
